Tesla,Meta,Amazon,Microsoft,CEMEX
291.26001,315.361969,135.360001,352.323883,7.435637
262.899994,301.899597,129.960007,344.177643,7.435637
260.019989,293.656555,130,341.101654,7.385799
269.059998,291.011963,128.800003,342.431274,7.355897
265.279999,293.866119,129.130005,348.255707,7.415702
264.350006,297.957733,128.149994,335.148224,7.515375
255.710007,311.07077,128.25,328.152985,7.49544
266.440002,324.812531,132.210007,335.743591,7.64495
267.429993,317.946655,133.679993,333.312622,7.595114
261.070007,322.048187,131.690002,333.72934,7.615048
254.110001,313.665436,128.210007,324.957977,7.53531
259.320007,312.54776,128.910004,324.124481,7.475506
253.860001,310.092773,139.570007,325.235748,7.634983
251.449997,315.910828,142.220001,327.547729,7.844297
249.699997,311.998871,139.940002,323.519196,7.894134
242.190002,304.584106,137.850006,319.728882,7.904101
245.339996,305.113007,138.559998,320.423431,7.814395
242.649994,301.021454,138.410004,318.518341,7.754591
239.759995,305.562103,140.570007,321.524841,7.94397
232.960007,301.33078,137.669998,319.361725,7.973873
225.600006,293.686493,135.070007,318.586182,8.043644
219.220001,284.505371,133.979996,315.08609,7.664885
215.490005,282.669159,133.220001,314.688385,7.774526
231.279999,289.305511,134.679993,320.0578,7.934003
233.190002,287.010223,134.25,320.634491,8.033677
236.860001,293.636597,135.520004,325.148804,8.113416
230.039993,286.161957,131.839996,318.1586,7.98384
238.589996,284.91452,133.259995,321.151581,8.123383
238.820007,289.664764,133.139999,321.867493,8.242991
257.179993,297.378906,134.910004,326.550812,8.342664
256.899994,294.494843,135.070007,326.92868,8.282861
258.079987,295.283234,138.009995,325.90451,7.94397
245.009995,295.772217,138.119995,326.799377,8.043644
256.48999,299.534485,137.270004,331.661713,7.714722
251.919998,298.556519,135.360001,330.995514,7.565212
251.490005,298.057526,137.850006,328.042358,7.355897
248.5,297.279114,138.229996,332.377625,7.166518
273.579987,306.92926,143.100006,336.026886,7.026976
267.480011,301.041382,141.229996,329.891785,6.927302
271.299988,304.434387,144.850006,334.157532,6.867498
276.040009,311.08075,144.720001,336.782562,6.827628
274.390015,299.694153,140.389999,328.350586,6.797727
265.279999,301.929535,139.979996,327.197144,6.917335
266.5,304.444397,137.630005,326.789459,7.096746
262.589996,299.05545,135.289993,318.954041,7.096746
255.699997,295.123535,129.330002,317.721069,6.777792
244.880005,298.466675,129.119995,315.215393,6.658184
246.990005,300.213074,131.270004,315.742371,6.638249
244.119995,298.346924,125.980003,310.372925,6.518641
240.5,297.129395,125.980003,311.019257,6.528608
246.380005,303.336639,125.980003,311.864471,6.608347
250.220001,299.59436,127.120003,313.962494,6.478772
251.600006,306.190796,129.460007,319.97821,6.428935
246.529999,300.322845,124.720001,311.615875,6.119947
261.160004,304.953339,127,317.154327,6.229588
260.049988,304.164978,125.959999,317.552032,5.840862
260.529999,314.783142,127.959999,325.407349,5.791025
259.670013,317.707123,128.259995,327.95285,5.870764
263.619995,321.179993,129.479996,326.530945,6.050176
262.98999,327.147766,131.830002,330.538147,6.389065
258.869995,323.495239,132.330002,329.285248,6.149849
251.119995,314.044678,129.789993,325.874664,6.139882
253.919998,320.491394,132.550003,330.756866,6.428935
254.850006,323.335571,131.470001,330.180145,6.349196
242.679993,316.319977,128.130005,328.24118,6.070111
220.110001,312.168518,128.399994,329.444336,6.010307
211.990005,308.017029,125.169998,324.820709,5.980404
212.080002,313.366058,126.559998,327.455688,5.9206
216.520004,311.909027,128.559998,328.658813,5.9206
212.419998,298.915741,121.389999,338.741425,5.980404
205.759995,287.758667,119.57,326.033783,6.179751
207.300003,296.12149,127.739998,327.942902,5.930568
197.360001,302.039307,132.710007,335.400421,5.9206
200.839996,300.652191,133.089996,336.195892,5.950502
205.660004,311.21048,137,344.11084,6.119947
218.509995,310.232483,138.070007,346.348114,6.409
219.960007,313.954865,138.600006,350.802734,6.668151
219.270004,315.152374,139.740005,354.511627,6.688086
222.179993,318.166199,142.710007,358.489014,6.767824
222.110001,319.124237,142.080002,361.14386,6.857531
209.979996,319.892639,140.600006,358.648071,6.797727
214.649994,328.095795,143.559998,367.57724,6.917335
223.710007,328.514923,142.589996,364.604187,6.817661
