ent,sex,eda,nac_mes,nac_anio,cs_p12,cs_p13_1,cs_p13_2,cs_p15,cs_p16,n_hij,e_con,zona,salario,clase2,rama,c_ocu11c,dur9c,rama_est2,dur_est,d_ant_lab,d_cexp_est,niv_ins,anios_esc,hrsocup,ingocup,ing_x_hrs,imssissste,scian,t_tra,emp_ppal,sec_ins,,
9,2,33,4,1990,1,7,1,3,2,2,5,2,7468,1,4,1,4,8,3,0,0,4,13,30,20000,155.03876,1,12,1,2,2,,
9,2,52,4,1971,1,6,3,2,1,2,5,2,7468,1,1,5,1,4,1,0,0,3,12,0,0,0,1,4,1,2,2,,32 variables
9,2,24,2,2000,1,7,5,3,1,0,6,2,7468,1,4,1,4,8,3,0,0,4,17,30,10000,77.51938,4,12,1,1,2,,1069 observaciones por variable
9,2,50,7,1973,1,6,3,2,1,2,5,2,7468,1,3,6,4,5,3,0,0,3,12,25,0,0,4,7,1,1,8,,0 es no aplica
9,2,28,1,1996,1,7,4,3,1,0,6,2,7468,2,0,0,0,0,0,1,2,4,16,0,0,0,0,0,1,0,0,,
9,2,63,10,1960,1,7,4,3,1,2,5,2,7468,1,4,1,3,8,3,0,0,4,16,24,0,0,4,12,1,2,4,,
9,2,31,2,1993,1,7,3,3,2,0,6,2,7468,1,4,4,3,8,3,0,0,4,15,24,0,0,1,14,1,2,2,,
9,2,29,5,1994,1,7,4,3,1,0,1,2,7468,1,4,1,7,9,5,0,0,4,16,54,12000,51.67959,1,16,1,2,7,,
9,2,34,11,1989,1,7,4,3,1,1,1,2,7468,1,4,6,1,8,1,0,0,4,16,0,25000,0,1,10,1,2,1,,
9,2,38,12,1985,1,6,3,2,1,2,1,2,7468,1,4,8,1,10,1,0,0,3,12,0,6450,0,4,19,1,1,9,,
9,2,35,9,1988,1,7,4,3,1,0,6,2,7468,1,3,6,8,5,5,0,0,4,16,70,0,0,4,7,1,1,4,,
9,2,50,99,1974,1,7,4,3,1,2,5,2,7468,1,3,6,6,5,4,0,0,4,16,42,0,0,4,6,1,2,4,,
9,2,32,10,1991,1,7,5,3,1,0,6,2,7468,1,4,6,6,7,4,0,0,4,17,40,0,0,4,8,1,1,8,,
9,2,42,5,1981,1,7,4,3,1,0,1,2,7468,1,4,1,6,8,4,0,0,4,16,40,16000,93.02326,1,14,1,2,2,,
9,2,46,7,1977,1,7,4,3,1,3,2,2,7468,1,4,1,7,9,5,0,0,4,16,50,0,0,2,15,1,2,7,,
9,2,52,2,1972,1,7,4,3,1,1,6,2,7468,1,4,1,7,8,5,0,0,4,16,54,0,0,1,12,1,2,4,,
9,2,31,9,1992,1,7,4,3,1,0,6,2,7468,1,4,1,6,8,4,0,0,4,16,40,0,0,1,12,1,2,2,,
9,2,32,9,1991,1,7,4,3,1,2,5,2,7468,1,4,2,2,9,2,0,0,4,16,14,11800,196.01329,2,15,2,2,7,,
9,2,28,7,1995,1,7,5,3,1,0,6,2,7468,1,4,1,6,9,4,0,0,4,17,40,8200,47.67442,1,15,1,2,6,,
9,2,53,9,1970,1,7,4,3,1,1,5,2,7468,1,4,4,6,9,4,0,0,4,16,40,18000,104.65116,2,15,1,2,7,,
9,2,52,10,1971,1,7,4,3,1,0,6,2,7468,1,4,1,2,9,2,0,0,4,16,2,860,100,4,16,1,1,8,,
9,2,32,2,1992,1,6,2,2,1,2,6,2,7468,1,4,5,4,6,3,0,0,3,11,25,0,0,4,18,1,1,8,,
9,2,22,8,2001,1,7,4,3,1,0,6,2,7468,1,4,8,3,6,3,0,0,4,16,16,4000,58.13953,4,18,1,1,4,,
9,2,30,1,1994,1,7,3,3,1,1,6,2,7468,1,4,4,8,11,5,0,0,4,15,60,14000,54.26357,2,20,1,2,5,,
9,2,46,6,1977,1,7,4,3,1,2,5,2,7468,1,4,1,4,9,3,0,0,4,16,25,15000,139.53488,4,16,1,2,4,,
9,2,56,5,1968,1,6,2,2,1,2,5,2,7468,1,4,8,8,10,5,0,0,3,11,60,0,0,1,19,1,2,9,,
9,2,62,3,1962,1,6,3,2,1,1,6,2,7468,1,4,4,5,11,4,0,0,3,12,35,0,0,2,20,1,2,5,,
9,2,46,8,1977,1,6,3,2,1,2,1,2,7468,1,4,4,6,11,4,0,0,3,12,40,0,0,1,20,1,2,5,,
9,2,24,11,1999,1,7,5,3,1,0,6,2,7468,1,4,4,4,8,3,0,0,4,17,32,0,0,1,12,1,2,2,,
9,2,35,11,1988,1,7,4,3,2,0,6,2,7468,1,4,4,6,7,4,0,0,4,16,40,0,0,1,8,1,2,2,,
9,2,50,4,1974,1,6,2,2,1,2,4,2,7468,1,4,8,6,11,4,0,0,3,11,40,9000,52.32558,2,20,1,2,5,,
9,2,23,7,2000,1,7,4,3,1,0,6,2,7468,1,4,2,3,9,3,0,0,4,16,24,0,0,1,15,1,2,6,,
9,2,35,99,1989,1,7,4,3,1,0,1,2,7468,1,4,8,6,10,4,0,0,4,16,40,0,0,1,19,1,2,2,,
9,2,60,5,1964,1,6,3,2,1,8,5,2,7468,1,4,4,3,11,3,0,0,3,12,24,0,0,2,20,1,2,5,,
9,2,24,10,1999,1,7,4,3,1,0,6,2,7468,1,4,1,4,8,3,0,0,4,16,25,0,0,1,12,1,2,2,,
9,2,34,7,1989,1,7,4,3,1,0,6,2,7468,1,4,1,7,11,5,0,0,4,16,50,0,0,2,20,1,2,5,,
9,2,40,3,1984,1,7,4,3,1,0,5,2,7468,1,4,1,7,8,5,0,0,4,16,49,13000,61.6991,1,13,1,2,2,,
9,2,59,11,1964,1,7,4,3,1,2,5,2,7468,1,3,6,8,5,5,0,0,4,16,60,5000,19.37984,4,7,1,1,8,,
9,2,53,5,1971,1,6,3,2,1,2,5,2,7468,1,4,1,3,8,3,0,0,3,12,20,4000,46.51163,4,12,1,1,8,,
9,2,27,9,1996,1,7,5,3,1,0,6,2,7468,1,4,1,1,8,1,0,0,4,17,0,35000,0,4,12,1,1,2,,
9,2,60,9,1963,1,6,3,2,1,4,2,2,7468,1,4,8,6,9,4,0,0,3,12,40,0,0,1,15,1,2,6,,
